,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
893,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'GIORGIO ARMANI'}),0.006737991448162664,0.024229710200950338,0.0007195913197066922,0.10679611650485436,4.40765141717071,0.0005563317395812291,1.092438476622849
894,frozenset({'GUERLAIN'}),frozenset({'CLE DE PEAU BEAUTE'}),0.005313676397999417,0.006737991448162664,0.0004148057400788577,0.07806379406827085,11.58561786087715,0.00037900223395083383,1.0773652256644208
895,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'GUERLAIN'}),0.006737991448162664,0.005313676397999417,0.0004148057400788577,0.061562224183583404,11.58561786087715,0.00037900223395083383,1.0599384948422916
896,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'HOURGLASS'}),0.006737991448162664,0.009247640513586003,0.0004876569274045352,0.07237422771403354,7.826237147487109,0.0004253464047083101,1.0680517823959155
897,frozenset({'HOURGLASS'}),frozenset({'CLE DE PEAU BEAUTE'}),0.009247640513586003,0.006737991448162664,0.0004876569274045352,0.052733118971061095,7.826237147487109,0.0004253464047083101,1.0485556166314374
898,frozenset({'IPSA'}),frozenset({'CLE DE PEAU BEAUTE'}),0.007032369715315401,0.006737991448162664,0.000352361865228277,0.05010570824524313,7.436297393773943,0.0003049778182261637,1.0456553083574873
899,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'IPSA'}),0.006737991448162664,0.007032369715315401,0.000352361865228277,0.05229479258605472,7.436297393773943,0.0003049778182261637,1.0477600233877045
900,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'JO MALONE'}),0.006737991448162664,0.018753977080124412,0.0006036241235556137,0.08958517210944396,4.776862621016366,0.0004772599863706969,1.077801012087464
901,frozenset({'JO MALONE'}),frozenset({'CLE DE PEAU BEAUTE'}),0.018753977080124412,0.006737991448162664,0.0006036241235556137,0.032186459489456164,4.776862621016367,0.0004772599863706969,1.0262948047078044
902,frozenset({'KANEBO'}),frozenset({'CLE DE PEAU BEAUTE'}),0.023649874220194943,0.006737991448162664,0.0005501008022551159,0.023260199911988435,3.4520969774057964,0.00039074815200931974,1.016915670337522
903,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'KANEBO'}),0.006737991448162664,0.023649874220194943,0.0005501008022551159,0.08164165931156223,3.4520969774057964,0.00039074815200931974,1.0631472297054485
904,frozenset({'KIEHLS'}),frozenset({'CLE DE PEAU BEAUTE'}),0.0817851217060856,0.006737991448162664,0.0011730527918359093,0.01434310749150139,2.128691851547617,0.0006219853411933619,1.0077157843679088
905,frozenset({'CLE DE PEAU BEAUTE'}),frozenset({'KIEHLS'}),0.006737991448162664,0.0817851217060856,0.0011730527918359093,0.17409532215357457,2.128691851547617,0.0006219853411933619,1.1117685889468394
